Date,Price,Open,High,Low,Vol.,Change %,,
27/02/2018,24.85,24.85,24.85,24.85,113.00K,-4.24%,,
26/02/2018,25.95,27.2,27.2,25.95,22.14K,0.00%,,
23/02/2018,25.95,27,27,25.95,1.40K,3.80%,,
22/02/2018,25,25.5,27.15,25,37.59K,-3.66%,,
21/02/2018,25.95,25.95,25.95,25.95,174.25K,-3.89%,,
20/02/2018,27,26,27,25.95,66.53K,3.85%,,
19/02/2018,26,28,28,25.95,361.92K,-6.98%,,
16/02/2018,27.95,28,28,25.95,41.14K,3.52%,,
15/02/2018,27,26.8,27,26,12.55K,0.00%,,
14/02/2018,27,28,28,26.8,18.54K,0.00%,,
13/02/2018,27,26.8,27,26.8,136.59K,0.00%,,
12/2/2018,27,28.65,28.65,27,56.94K,-1.10%,,
9/2/2018,27.3,27.3,27.3,27.3,238.16K,4.60%,,
8/2/2018,26.1,26.05,27,25.95,122.87K,0.19%,,
7/2/2018,26.05,26.05,26.05,26.05,321.42K,-4.58%,,
6/2/2018,27.3,27.3,27.3,27.3,251.62K,-4.71%,,
5/2/2018,28.65,28.65,28.65,28.65,69.39K,0.17%,,
2/2/2018,28.6,31.5,31.5,28.55,44.89K,-4.67%,,
1/2/2018,30,30,30,30,151.92K,0.00%,,
31/01/2018,30,31.5,0,0,166.54K,5.26%,,
30/01/2018,28.5,30.05,30.05,28.5,229.77K,0.00%,,
29/01/2018,28.5,29.05,29.05,28.5,255.38K,-5.00%,,
26/01/2018,30,30,30,30,320.57K,0.00%,,
25/01/2018,30,31.5,0,0,278.23K,0.00%,,
24/01/2018,30,30,30,30,195.90K,-1.32%,,
23/01/2018,30.4,30.4,30.4,30.4,104.50K,-5.00%,,
22/01/2018,32,32,32,32,383.42K,0.00%,,
19/01/2018,32,33.45,33.45,32,4.64K,3.23%,,
18/01/2018,31,33.6,33.6,31,13.55K,-3.13%,,
17/01/2018,32,32.51,32.51,32,931.11K,3.33%,,
16/01/2018,30.97,29.5,30.97,30.97,531.70K,9.74%,,
15/01/2018,28.22,29.6,29.6,27,151.70K,0.00%,,
12/1/2018,28.22,30.87,30.87,28.22,873.89K,-8.58%,,
11/1/2018,30.87,30.87,30.87,30.87,,5.00%,,
10/1/2018,29.4,29.4,29.4,29.4,126.14K,0.00%,,
9/1/2018,29.4,28.05,29.4,28.05,49.24K,4.26%,,
8/1/2018,28.2,28,29.39,28,42.36K,-0.53%,,
5/1/2018,28.35,29.4,29.4,28.35,55.65K,-2.24%,,
4/1/2018,29,29.4,29.4,28.03,16.45K,3.57%,,
3/1/2018,28,26.87,0,0,24.60K,0.00%,,
2/1/2018,28,29,29,28,2.70K,0.00%,,
29/12/2017,28,26.6,0,0,75.74K,0.00%,,
28/12/2017,28,28,28,28,791.96K,0.18%,,
27/12/2017,27.95,28.95,28.95,27.95,5.09K,3.52%,,
22/12/2017,27,26.61,27,26.6,61.79K,1.47%,,
21/12/2017,26.61,29.3,29.3,26.61,1.21K,0.04%,,
20/12/2017,26.6,27,27,26.6,51.52K,-1.48%,,
19/12/2017,27,26.87,28,26.86,20.86K,1.47%,,
18/12/2017,26.61,28,28,26.61,20.75K,-0.08%,,
15/12/2017,26.63,28.3,28.3,26.63,59.76K,-4.89%,,
14/12/2017,28,28,28,28,265.58K,3.70%,,
13/12/2017,27,27,27,27,330.25K,3.85%,,
12/12/2017,26,27,27,26,55.18K,-3.67%,,
11/12/2017,26.99,27,27,26.99,39.73K,5.02%,,
8/12/2017,25.7,25.65,26.99,25.65,146.01K,-4.78%,,
7/12/2017,26.99,27.05,27.5,26.99,72.55K,-0.04%,,
6/12/2017,27,27,27,27,134.87K,1.12%,,
5/12/2017,26.7,26.7,27.95,26.7,0.97K,0.30%,,
4/12/2017,26.62,27,27,26.62,20.14K,-4.59%,,
30/11/2017,27.9,27.5,27.9,26.61,14.58K,4.89%,,
29/11/2017,26.6,26.6,28,26.6,6.38K,-4.66%,,
28/11/2017,27.9,27.7,27.93,26.6,23.91K,-0.36%,,
27/11/2017,28,28,28,26.7,22.53K,0.47%,,
24/11/2017,27.87,26.66,27.87,26.66,43.68K,1.35%,,
23/11/2017,27.5,28,28,26.6,27.22K,-1.79%,,
22/11/2017,28,27.87,28,28,170.98K,0.47%,,
21/11/2017,27.87,27.87,28,27.87,21.40K,-0.46%,,
20/11/2017,28,28,28,28,70.60K,0.43%,,
17/11/2017,27.88,27.87,29.35,27.87,23.56K,-0.43%,,
16/11/2017,28,28,28,28,46.14K,-4.44%,,
15/11/2017,29.33,29.33,29.33,28,20.31k,0.00%,,
14/11/2017,29.3,29.33,29.33,28,20.31K,1.03%,,
13/11/2017,29,29.6,30,29,13.63K,-2.52%,,
10/11/2017,29.75,27.9,29.95,27.9,30.41K,6.40%,,
9/11/2017,27.96,28,28,27.96,19.90K,-0.14%,,
8/11/2017,28,27.94,30.79,27.94,192.68K,-0.18%,,
7/11/2017,28.05,30.79,30.79,28.05,2.40K,-8.90%,,
6/11/2017,30.79,29.33,30.79,28,41.73K,5.09%,,
3/11/2017,29.3,28.5,29.3,27.91,66.81K,1.03%,,
2/11/2017,29,28,29.33,28,26.27K,4.05%,,
1/11/2017,27.87,27.89,27.89,27.87,39.63K,-0.54%,,
31/10/2017,28.02,29,29.33,27.87,92.31K,-3.38%,,
30/10/2017,29,27.87,29,27.87,74.15K,-5.81%,,
27/10/2017,30.79,27.87,30.79,27.87,13.10K,0.00%,,
26/10/2017,30.79,29.33,30.79,27.9,79.98K,9.89%,,
25/10/2017,28.02,27.9,30.63,27.9,32.38K,-4.47%,,
24/10/2017,29.33,27.9,29.33,27.88,9.86K,5.20%,,
23/10/2017,27.88,27.87,29.33,27.87,39.71K,0.04%,,
20/10/2017,27.87,30.75,30.75,27.87,34.82K,-9.37%,,
