Date,Price,Open,High,Low,Vol.,Change %
1/2/2023,13.55,13.55,14,13.55,196.75K,0.00%
31/01/2023,13.55,13.55,13.55,13.55,792.04K,0.00%
30/01/2023,13.55,13.25,13.55,13.3,709.23K,2.26%
27/01/2023,13.25,13.1,13.25,13.2,4.22M,1.15%
26/01/2023,13.1,13.05,13.1,13.05,4.77M,0.38%
25/01/2023,13.05,13.15,13.3,13,2.03M,6.97%
24/01/2023,12.2,11.1,12.2,12.2,2.13M,9.91%
23/01/2023,11.1,11.4,11.3,11.1,1.16M,-2.63%
20/01/2023,11.4,11.4,11.4,11.4,335.32K,0.00%
19/01/2023,11.4,11.4,11.9,11.05,37.70K,0.00%
18/01/2023,11.4,11.4,11.6,11.2,115.70K,0.00%
17/01/2023,11.4,11.4,11.95,11.2,427.38K,0.00%
16/01/2023,11.4,11.4,12.25,11.3,301.78K,0.00%
13/01/2023,11.4,11.4,12.3,11.5,27.91K,0.00%
12/1/2023,11.4,11.6,11.4,11.4,266.21K,-1.72%
11/1/2023,11.6,11.6,12.3,11.4,209.80K,0.00%
10/1/2023,11.6,11.6,11.9,11.3,305.32K,0.00%
9/1/2023,11.6,11.6,12.1,11.05,116.98K,0.00%
6/1/2023,11.6,11.6,12.4,11.05,235.11K,0.00%
5/1/2023,11.6,11.6,12,11.1,229.63K,0.00%
4/1/2023,11.6,11.6,12,11.5,225.11K,0.00%
3/1/2023,11.6,11.6,11.6,11.25,34.62K,0.00%
30/12/2022,11.6,11.5,11.6,11.6,405.87K,0.87%
29/12/2022,11.5,11.8,11.5,11.5,251.01K,-2.54%
28/12/2022,11.8,11.8,11.75,11.05,19.71K,0.00%
23/12/2022,11.8,11.8,11.7,11.2,4.93K,0.00%
22/12/2022,11.8,11.8,11.8,11.05,154.14K,0.00%
21/12/2022,11.8,11.8,11.8,11.1,72.41K,0.00%
20/12/2022,11.8,11.8,11.8,11.3,27.20K,0.00%
19/12/2022,11.8,11.8,11.75,11,66.04K,0.00%
16/12/2022,11.8,11.8,11.7,11,58.95K,0.00%
15/12/2022,11.8,11.8,12,11,63.41K,0.00%
14/12/2022,11.8,11.8,11.7,11.1,3.45K,0.00%
13/12/2022,11.8,11.8,11.45,11.05,70.44K,0.00%
12/12/2022,11.8,11.8,12.45,11.2,109.42K,0.00%
9/12/2022,11.8,11.8,11.8,11.8,647.68K,0.00%
8/12/2022,11.8,11.8,12.5,11.8,9.40K,0.00%
7/12/2022,11.8,11.8,12.75,11.25,21.28K,0.00%
6/12/2022,11.8,11.8,12.85,11,734.24K,0.00%
5/12/2022,11.8,11.8,12.1,11.8,234.18K,0.00%
2/12/2022,11.8,11.05,11.8,11.8,681.90K,6.79%
1/12/2022,11.05,11.05,11.5,11.05,131.39K,0.00%
30/11/2022,11.05,11,11.05,11.05,333.32K,0.45%
29/11/2022,11,11,11.45,11,382.26K,0.00%
28/11/2022,11,11,11.7,11,212.41K,0.00%
25/11/2022,11,11,11.5,11.05,111.25K,0.00%
24/11/2022,11,11,12,11,42.79K,0.00%
23/11/2022,11,11,11.95,10.8,148.24K,0.00%
22/11/2022,11,11,11.85,10.85,176.48K,0.00%
21/11/2022,11,11,12,10.6,230.09K,0.00%
18/11/2022,11,11,11.5,10.85,62.39K,0.00%
17/11/2022,11,10,11,11,212.08K,10.00%
16/11/2022,10,10,10.95,10.3,141.75K,0.00%
15/11/2022,10,10,10.6,10,485.42K,0.00%
14/11/2022,10,10,10.7,10,93.71K,0.00%
11/11/2022,10,10,10,10,275.72K,0.00%
10/11/2022,10,10,10,10,486.68K,0.00%
9/11/2022,10,10,10.75,10,51.12K,0.00%
8/11/2022,10,10,10.55,9.95,697.15K,0.00%
7/11/2022,10,10,10.7,9.95,89.65K,0.00%
4/11/2022,10,9.95,10,10,671.75K,0.50%
3/11/2022,9.95,10.85,9.95,9.8,1.09M,-8.29%
2/11/2022,10.85,10.75,10.85,10.85,493.98K,0.93%
1/11/2022,10.75,10.75,10.75,10.75,8.26M,0.00%
31/10/2022,10.75,10.75,10.75,10.75,569.91K,0.00%
28/10/2022,10.75,10.5,10.75,10,611.96K,2.38%
27/10/2022,10.5,10.5,11.3,10.55,106.29K,0.00%
26/10/2022,10.5,10.5,11.45,10.5,44.70K,0.00%
25/10/2022,10.5,10.8,10.5,10.5,769.10K,-2.78%
24/10/2022,10.8,12,10.8,10.8,619.14K,-10.00%
21/10/2022,12,12,12.5,11.55,132.19K,0.00%
20/10/2022,12,12,12.5,11.6,49.97K,0.00%
19/10/2022,12,12,12.1,11.8,11.50K,0.00%
18/10/2022,12,12,12,11.5,72.88K,0.00%
17/10/2022,12,12,12,11.5,360.53K,0.00%
14/10/2022,12,12,12.7,11.5,67.41K,0.00%
13/10/2022,12,12,12,11.15,23.53K,0.00%
12/10/2022,12,12,12,11.15,74.69K,0.00%
11/10/2022,12,12.3,12,12,606.11K,-2.44%
7/10/2022,12.3,12.3,12.7,11.5,163.97K,0.00%
6/10/2022,12.3,12.3,12.2,11.2,44.73K,0.00%
5/10/2022,12.3,12.3,12.3,12,77.16K,0.00%
4/10/2022,12.3,12.3,12.85,11.2,28.14K,0.00%
30/09/2022,12.3,12.3,12.3,12.1,155.95K,0.00%
29/09/2022,12.3,12.3,12.7,11.15,308.35K,0.00%
28/09/2022,12.3,12.3,12.5,11.9,207.86K,0.00%
27/09/2022,12.3,13,13,12.3,927.90K,-5.38%
26/09/2022,13,13,13.2,13,41.50K,0.00%
23/09/2022,13,13,13.25,12.15,152.63K,0.00%
22/09/2022,13,13.35,13,13,591.00K,-2.62%
21/09/2022,13.35,13.35,13.1,12.25,116.13K,0.00%
20/09/2022,13.35,13.35,13.1,12.55,130.28K,0.00%
19/09/2022,13.35,13.35,13.1,12.65,18.41K,0.00%
16/09/2022,13.35,13.35,13.25,12.65,46.16K,0.00%
15/09/2022,13.35,13.35,13.35,12.5,136.93K,0.00%
14/09/2022,13.35,13.35,13.35,12.7,70.25K,0.00%
13/09/2022,13.35,13.35,13.3,12.55,237.87K,0.00%
12/9/2022,13.35,13.35,13.35,12.75,71.09K,0.00%
9/9/2022,13.35,13.35,13.35,13.05,10.34K,0.00%
8/9/2022,13.35,13.35,13.4,12.75,46.16K,0.00%
7/9/2022,13.35,13.35,13.35,13,52.01K,0.00%
6/9/2022,13.35,12.2,13.35,13.35,261.79K,9.43%
5/9/2022,12.2,12.2,13.4,12.6,195.27K,0.00%
2/9/2022,12.2,12.2,13,12.3,249.59K,0.00%
1/9/2022,12.2,12.2,12.95,12.15,355.47K,0.00%
31/08/2022,12.2,13.15,12.2,12.2,594.16K,-7.22%
30/08/2022,13.15,13.5,13.15,13.15,263.17K,-2.59%
29/08/2022,13.5,13.5,13.4,12.55,149.70K,0.00%
26/08/2022,13.5,13.5,13.3,13.2,27.97K,0.00%
25/08/2022,13.5,13.5,13.75,13.05,143.43K,0.00%
24/08/2022,13.5,13.5,13.5,13.05,20.53K,0.00%
23/08/2022,13.5,13.5,13.5,13.5,3.09M,0.00%
22/08/2022,13.5,13.5,13.5,13.05,78.32K,0.00%
19/08/2022,13.5,13.5,13.9,13.5,27.78K,0.00%
18/08/2022,13.5,13.5,13.85,13.05,14.97K,0.00%
17/08/2022,13.5,13.5,13.9,13.5,123.05K,0.00%
16/08/2022,13.5,13.5,13.8,13.05,23.92K,0.00%
15/08/2022,13.5,13.5,13.5,13.1,180.46K,0.00%
12/8/2022,13.5,13.5,13.95,13.5,63.45K,0.00%
11/8/2022,13.5,13.5,14,13.5,116.46K,0.00%
10/8/2022,13.5,13.5,14.2,13,109.78K,0.00%
9/8/2022,13.5,13.5,14.25,13.5,85.18K,0.00%
8/8/2022,13.5,13.5,14.25,13.5,79.22K,0.00%
5/8/2022,13.5,15,13.6,13.5,1.30M,-10.00%
4/8/2022,15,15,14.5,13.75,120.04K,0.00%
3/8/2022,15,15,15,13.7,28.64K,0.00%
2/8/2022,15,14.6,15,15,1.24M,2.74%
1/8/2022,14.6,14.2,14.6,14.6,3.99M,2.82%
29/07/2022,14.2,14.2,14.5,13.6,295.56K,0.00%
28/07/2022,14.2,15,14.2,14.2,545.57K,-5.33%
27/07/2022,15,15,14.2,13.5,615.87K,0.00%
26/07/2022,15,15,14.3,13.5,128.57K,0.00%
25/07/2022,15,15,14.35,13.5,80.07K,0.00%
22/07/2022,15,15,14.9,13.6,74.81K,0.00%
21/07/2022,15,15,15.5,14.5,32.08K,0.00%
20/07/2022,15,15,15,15,578.69K,0.00%
19/07/2022,15,15.5,15,15,945.78K,-3.23%
18/07/2022,15.5,15.5,15.5,14.55,998.00K,0.00%
15/07/2022,15.5,15.5,15.5,15.5,232.96K,0.00%
14/07/2022,15.5,15.5,15.5,15.5,568.94K,0.00%
13/07/2022,15.5,15.5,15.5,15.5,709.45K,0.00%
8/7/2022,15.5,15.5,15.5,15.5,1.55M,0.00%
7/7/2022,15.5,15.5,15.6,15.3,199.47K,0.00%
6/7/2022,15.5,15.3,15.5,15.5,953.80K,1.31%
5/7/2022,15.3,15.3,15.55,15.1,318.35K,0.00%
4/7/2022,15.3,15.3,15.55,15.25,381.15K,0.00%
1/7/2022,15.3,14.8,15.3,15.3,209.05K,3.38%
30/06/2022,14.8,14.8,15.15,14.8,193.52K,0.00%
29/06/2022,14.8,14.8,15.2,14.8,124.57K,0.00%
28/06/2022,14.8,14.8,15.25,14.85,399.95K,0.00%
27/06/2022,14.8,14.5,14.8,14.8,822.06K,2.07%
24/06/2022,14.5,14.5,14.95,14.6,380.66K,0.00%
23/06/2022,14.5,14.8,14.5,14.5,296.04K,-2.03%
22/06/2022,14.8,14.8,14.8,14.15,30.62K,0.00%
21/06/2022,14.8,14.8,14.8,14,241.90K,0.00%
20/06/2022,14.8,15,14.8,14.8,717.77K,-1.33%
17/06/2022,15,14.9,15,15,653.74K,0.67%
16/06/2022,14.9,14.9,15.05,14.6,466.18K,0.00%
15/06/2022,14.9,14.9,15.2,14.5,824.42K,0.00%
14/06/2022,14.9,14.9,15.2,15,324.48K,0.00%
10/6/2022,14.9,14.9,15.1,15,138.90K,0.00%
9/6/2022,14.9,14.9,15.05,14.9,106.63K,0.00%
8/6/2022,14.9,14.5,14.9,14.9,441.15K,2.76%
7/6/2022,14.5,14.5,15.05,14.55,336.13K,0.00%
6/6/2022,14.5,14.95,14.5,14.5,563.92K,-3.01%
3/6/2022,14.95,14.55,14.95,14.95,232.94K,2.75%
2/6/2022,14.55,14.55,15,14.4,209.11K,0.00%
1/6/2022,14.55,15.25,14.55,14.45,738.78K,-4.59%
31/05/2022,15.25,14.95,15.25,15.25,2.43M,2.01%
30/05/2022,14.95,14.95,15,14.5,51.95K,0.00%
27/05/2022,14.95,14.95,15.4,14.3,99.80K,0.00%
26/05/2022,14.95,14.2,14.95,14.95,1.38M,5.28%
25/05/2022,14.2,14.75,14.6,14.2,2.90M,-3.73%
24/05/2022,14.75,14.95,14.75,14.6,3.03M,-1.34%
23/05/2022,14.95,14.8,14.95,14.95,722.53K,1.01%
20/05/2022,14.8,14.8,15,14.8,134.88K,0.00%
19/05/2022,14.8,15,14.8,14.6,2.76M,-1.33%
18/05/2022,15,14.6,15,15,5.07M,2.74%
17/05/2022,14.6,15,14.9,14.6,2.04M,-2.67%
16/05/2022,15,14.1,15,14.5,2.41M,6.38%
13/05/2022,14.1,14,14.25,14.1,5.73M,0.71%
12/5/2022,14,14,14.9,14,415.99K,0.00%
11/5/2022,14,15.3,15,14,24.64M,-8.50%
