Date,Price,Open,High,Low,Vol.,Change %
23/09/2016,88.02,92.17,88.02,87.57,426.59K,0.25%
22/09/2016,87.8,83.64,87.81,84.24,572.38K,-0.25%
21/09/2016,88.02,89.91,89.91,85.42,1.38M,-6.99%
20/09/2016,94.64,92.76,94.64,92.76,120.43K,0.00%
19/09/2016,94.64,94.64,94.64,94.64,43.27K,-0.01%
16/09/2016,94.65,94.64,94.65,94.64,295.34K,-0.58%
15/09/2016,95.2,99.7,99.7,95.12,19.07K,0.59%
14/09/2016,94.64,94.64,94.64,94.64,233.71K,0.00%
9/9/2016,94.64,94.63,94.64,94.63,97.55K,2.19%
8/9/2016,92.61,92.6,92.61,92.28,99.43K,0.00%
7/9/2016,92.61,87.36,92.61,87.36,262.44K,1.96%
6/9/2016,90.83,90.38,90.83,88.96,171.95K,0.50%
5/9/2016,90.38,88.49,90.38,88.49,81.54K,0.89%
2/9/2016,89.58,89.58,89.58,89.58,82.35K,0.00%
1/9/2016,89.58,88.59,89.58,89.44,53.97K,1.22%
31/08/2016,88.5,88.48,88.5,88.48,136.10K,0.01%
30/08/2016,88.49,88.49,88.49,88.49,180.96K,0.00%
29/08/2016,88.49,88.49,88.49,88.49,51.85K,-6.41%
26/08/2016,94.55,95,95,91.5,12.96K,6.85%
25/08/2016,88.49,88.49,88.49,88.49,1.36M,0.00%
24/08/2016,88.49,88.49,88.49,88.49,58.31K,0.00%
23/08/2016,88.49,88.49,88.49,88.49,581.75K,-0.01%
22/08/2016,88.5,88.02,88.5,88.02,881.65K,0.55%
19/08/2016,88.02,85.13,88.02,85.04,255.15K,3.35%
18/08/2016,85.17,85.17,85.17,85.17,36.82K,-5.36%
17/08/2016,89.99,90,90,88.95,29.61K,1.70%
16/08/2016,88.49,85.42,0,0,147.54K,0.00%
15/08/2016,88.49,88.49,88.49,88.49,249.70K,-1.58%
12/8/2016,89.91,89.91,89.91,89.91,377.85K,-0.78%
11/8/2016,90.62,88.12,90.62,88.12,54.37K,0.79%
10/8/2016,89.91,89.91,89.91,89.91,256.76K,0.00%
9/8/2016,89.91,91.33,89.91,88.96,579.15K,0.00%
8/8/2016,89.91,89.91,89.91,89.91,361.15K,0.00%
5/8/2016,89.91,90.01,90.01,89.91,339.13K,0.00%
4/8/2016,89.91,89.91,89.91,89.91,674.39K,1.08%
3/8/2016,88.95,90.86,90.86,88.95,113.59K,-0.01%
2/8/2016,88.96,88.96,88.96,88.96,1.07M,1.07%
1/8/2016,88.02,89.91,89.89,88.02,191.61K,-1.59%
29/07/2016,89.44,88.17,89.44,88.17,209.55K,0.33%
28/07/2016,89.15,92.34,89.15,88.03,1.34M,0.21%
27/07/2016,88.96,88.96,88.96,88.96,518.65K,-1.05%
26/07/2016,89.9,90.86,95.4,87.57,2.50M,-0.01%
25/07/2016,89.91,89.91,89.91,89.91,160.36K,-1.53%
22/07/2016,91.31,89.91,91.31,89.91,144.95K,0.55%
21/07/2016,90.81,90.81,90.81,90.81,174.20K,-0.86%
20/07/2016,91.6,90.86,91.6,90.85,354.18K,-6.53%
19/07/2016,98,99.99,99.99,95.68,19.89K,6.75%
18/07/2016,91.8,91.8,91.8,91.8,1.67M,-0.22%
15/07/2016,92,92.28,92.28,92,299.68K,-0.40%
14/07/2016,92.37,95.57,92.48,92.28,1.18M,-3.33%
13/07/2016,95.55,92.75,95.55,92.32,538.29K,-0.04%
12/7/2016,95.59,93.79,95.59,92.75,5.86M,0.00%
11/7/2016,95.59,93.7,95.59,93.69,1.15M,1.01%
8/7/2016,94.63,94.17,94.63,93.7,625.80K,0.49%
4/7/2016,94.17,94.64,94.17,94.17,221.03K,-5.21%
1/7/2016,99.35,100.42,99.35,95.49,146.17K,-3.92%
30/06/2016,103.4,104.01,103.63,103.16,468.41K,1.85%
29/06/2016,101.52,101.08,105,101.08,35.76K,0.81%
28/06/2016,100.7,106,100.71,100.7,254.46K,-3.18%
27/06/2016,104.01,100.61,104.01,100.52,172.84K,-1.70%
24/06/2016,105.81,110.73,105.81,105.2,453.08K,0.04%
23/06/2016,105.77,104.01,105.78,104.01,520.56K,4.98%
22/06/2016,100.75,97.06,100.75,97.06,363.85K,2.36%
21/06/2016,98.43,94.83,98.43,98.43,86.33K,4.10%
20/06/2016,94.55,97.01,97.01,94.55,223.36K,-3.94%
17/06/2016,98.43,99.2,100.32,98.43,171.65K,1.46%
16/06/2016,97.01,97.86,97.01,93.74,348.07K,-0.39%
15/06/2016,97.39,92.76,97.39,94.64,162.43K,-0.28%
14/06/2016,97.66,99.9,99.9,97.65,33.01K,5.29%
